,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,RainingDays,fruitset,yield
40,40,25.0,0.25,0.25,0.25,0.38,86.0,16.0,0.443419908,4870.625368
493,493,25.0,0.5,0.25,0.38,0.75,86.0,24.0,0.467156853,5424.123512
489,489,25.0,0.5,0.25,0.38,0.75,86.0,16.0,0.506260198,6117.4759
593,593,25.0,0.5,0.25,0.63,0.75,77.4,16.0,0.506793789,6493.637124
425,425,12.5,0.25,0.38,0.5,0.63,94.6,24.0,0.509933842,5898.015732
8,8,37.5,0.75,0.25,0.25,0.25,77.4,16.0,0.427977027,4234.868585
113,113,12.5,0.25,0.25,0.25,0.63,69.7,24.0,0.532704207,6480.80815
558,558,25.0,0.5,0.25,0.63,0.5,86.0,34.0,0.386518419,4125.757119
401,401,12.5,0.25,0.38,0.38,0.75,69.7,24.0,0.551891558,7298.002602
734,734,25.0,0.5,0.38,0.5,0.75,86.0,34.0,0.450102564,5033.685563
204,204,12.5,0.25,0.25,0.38,0.75,77.4,1.0,0.617868887,8212.792891
202,202,12.5,0.25,0.25,0.38,0.75,94.6,34.0,0.417072864,4393.527431
585,585,25.0,0.5,0.25,0.63,0.75,86.0,16.0,0.517993775,6182.750871
428,428,12.5,0.25,0.38,0.5,0.63,77.4,1.0,0.62818447,8489.691924
667,667,25.0,0.5,0.38,0.38,0.63,94.6,16.0,0.51884433,6226.285142
55,55,12.5,0.25,0.25,0.25,0.25,86.0,24.0,0.466974086,4999.156215
75,75,12.5,0.25,0.25,0.25,0.38,77.4,16.0,0.567975637,7016.89385
263,263,12.5,0.25,0.25,0.63,0.5,86.0,24.0,0.532627825,6255.890642
1,1,37.5,0.75,0.25,0.25,0.25,86.0,1.0,0.444254359,4947.605663
443,443,12.5,0.25,0.38,0.5,0.75,77.4,16.0,0.621810512,8173.589103
458,458,25.0,0.5,0.25,0.38,0.5,86.0,1.0,0.517723246,6392.356672
771,771,20.0,0.0,0.058,0.409,0.117,86.0,3.77,0.33592747,3471.192143
671,671,25.0,0.5,0.38,0.38,0.63,94.6,24.0,0.41016336,4560.22361
668,668,25.0,0.5,0.38,0.38,0.63,94.6,1.0,0.538550337,6643.901898
79,79,12.5,0.25,0.25,0.25,0.38,77.4,24.0,0.52391434,6030.980735
772,772,10.0,0.537,0.117,0.409,0.058,86.0,3.77,0.486814739,5333.873335
103,103,12.5,0.25,0.25,0.25,0.63,86.0,24.0,0.540978199,6443.256903
351,351,12.5,0.25,0.25,0.75,0.75,77.4,24.0,0.578887446,7183.10038
500,500,25.0,0.5,0.25,0.38,0.75,69.7,1.0,0.473688611,5948.114471
770,770,20.0,0.0,0.293,0.234,0.058,86.0,3.77,0.497503209,5449.421199
266,266,12.5,0.25,0.25,0.63,0.5,94.6,34.0,0.396762494,4042.842643
